ANIMAL	FATHER	MOTHER
2746	2123	2366
2747	NA	2374
2748	NA	1256
2750	2153	2420
2751	2445	2431
2752	NA	2358
2753	1883	1259
2754	NA	2373
2755	NA	2341
2756	2065	1769
2757	2294	1769
2758	42	1262
2759	2528	NA
2760	42	1262
2761	2152	2463
2762	NA	2214
2763	2334	2480
2764	2285	2341
2765	2115	2390
2766	2321	1899
2767	NA	2504
2769	NA	2365
2770	2263	2171
2771	1883	2236
2772	NA	1820
2773	NA	2462
2774	2330	2572
2775	NA	2252
2776	2335	2120
2777	NA	2536
2778	2142	2447
2779	NA	32
2780	NA	2549
2781	2136	2571
4331	NA	NA
59	NA	NA
65	NA	NA
66	NA	NA
68	NA	NA
75	NA	NA
79	NA	NA
80	NA	NA
83	NA	NA
2782	2303	2417
2783	NA	1553
2784	2115	2219
2785	2350	2171
2786	2350	2171
2787	2350	2367
2788	NA	1981
2789	NA	2154
2790	NA	2218
2791	NA	2319
2792	2162	2414
2793	2333	905
2794	2269	2431
2795	2115	2379
2796	2115	2176
2797	2563	2443
2798	2405	2360
2799	2135	2460
2800	2243	1098
2801	2157	2260
2802	2691	2356
2803	42	2356
2804	NA	2364
2805	2115	2164
2806	2115	2164
2807	2096	2363
2808	1881	1246
2809	1881	1246
2810	20	2569
2811	NA	2146
2812	NA	2479
2813	NA	1264
2814	NA	1264
2815	2280	NA
2816	2563	2178
2817	NA	2409
2818	2096	2172
2819	2157	2549
2820	NA	1103
2821	NA	1103
2822	NA	2163
2823	NA	577
2824	2618	577
2825	NA	24
2826	2136	24
2827	2354	1741
2828	2354	1741
2829	2662	2462
2830	2354	2066
2831	NA	1891
2832	2354	1097
2833	2156	2170
2834	1878	2353
2835	NA	2262
2836	2303	2262
2837	2157	1662
2838	2347	2627
2839	2136	1552
2840	NA	1552
2841	2372	1255
2842	2136	1664
2843	2096	1073
2844	2354	1825
2845	2354	1825
2846	2287	2236
2847	NA	2165
2848	2354	2323
2849	2354	2323
2850	1223	1225
2851	2354	2366
2852	1223	2643
2853	NA	2572
2854	2220	2341
2855	2303	2349
2856	2135	1256
2857	2157	1899
2858	2136	1899
2859	1881	1887
2860	2099	2375
2861	2136	1259
2862	1223	36
2863	2255	2252
2864	2157	2374
2865	NA	2421
2866	2220	2214
2867	2220	2214
2868	NA	2169
2869	2220	2368
2870	NA	2368
2871	2661	2523
2872	2694	1072
2873	NA	2167
2874	2220	35
2875	2605	2706
2876	2370	1663
2877	2115	1663
2878	NA	1757
2879	2135	2337
2880	2677	2168
2881	2321	2355
2882	NA	2465
2883	42	1820
2884	1587	1820
2885	1881	2177
2886	2255	2069
2887	2255	2069
2888	1223	1660
2889	2303	1660
2890	1223	1101
2891	1223	1101
2892	2700	1665
2893	2354	1242
2894	2354	1242
2895	2300	2075
2896	43	1882
2897	2136	1882
2898	2334	1262
2899	2300	1262
2900	2136	2607
2901	42	1666
2902	1881	2376
2903	2157	2339
2904	2126	2532
2905	2354	2647
2906	2354	2278
2907	2335	2359
2908	2126	30
2909	2661	2536
2910	2157	1880
2911	1890	2245
2912	2220	1288
2913	2135	1288
2914	NA	2342
2915	NA	2534
2916	2487	1554
2917	2487	1554
2918	1890	2686
2919	2135	2663
2920	42	1877
2921	42	1877
2922	NA	2447
2923	2115	1244
2924	NA	2476
2925	2354	2097
2926	NA	1079
2927	NA	1079
2928	NA	2358
2929	2300	1649
2930	NA	1109
2931	1884	1109
2932	2115	2073
2933	2282	1784
2934	2115	2292
2935	1890	1834
2936	2136	2064
2937	2300	2641
2938	1587	2608
2939	2115	2698
2940	2352	2637
2941	1881	2351
2942	20	1885
2943	2280	2707
2944	NA	910
2945	2096	2076
2946	1890	2369
2947	2096	1876
2948	2157	NA
2949	2269	2571
2951	NA	2545
2952	20	39
2956	2350	2343
2958	2115	1251
2959	2135	2071
2960	1884	NA
2962	2269	2365
2963	2596	2377
2964	2115	2073
2965	2331	NA
2966	42	NA
2968	2347	NA
2969	NA	NA
2970	NA	NA
2971	2354	NA
2972	2276	NA
2973	NA	NA
2974	2321	905
2975	2334	2666
2976	NA	2623
2977	2405	2360
2978	1223	2671
2979	2282	2676
2980	2136	2688
2981	2303	1887
2982	2096	2644
2983	2459	2683
2984	2614	2668
2985	2126	415
2986	2405	1104
2987	NA	2361
2988	2321	2373
2989	1881	2376
2990	2099	2699
2991	2126	747
2992	1223	2620
2993	NA	2617
2994	2285	2631
2995	NA	2651
4129	2563	NA
4561	NA	NA
2996	NA	2684
2997	NA	2683
2998	NA	2631
2999	2115	2374
3000	NA	35
3001	2096	2414
3002	NA	2176
3003	2702	2443
3004	2096	1264
3005	NA	2360
3006	2968	2275
3007	42	2627
3008	2287	2431
3009	NA	2245
3010	2303	1256
3011	NA	2358
3012	NA	2363
